,year,title,director,cast,genre,producer,link,cast_size,music,imdb
63,2018,Maniyaar Kudumbam,Thambi Ramaiah,"Umapathy Ramaiah, Mrudula Murali, Samuthirakani, Thambi Ramaiah",null,Vu Cinemas,/wiki/Maniyaar_Kudumbam,4,Thambi Ramaiah,4.6
64,2018,Nadodi Kanavu,Veera Selva,"Mahendran, Subraja, Sivasankar",null,RRR Productions,,3,,
65,2018,Poya Velaya Patthukkittu,Viruthai Vel,"Sandeep, Anu Krishna, Sai Gopiee",null,Harisritha Production,,3,,4.2
66,2018,Azhagumagan,Azhagan Selva,"Arjun Udhay, Malavika Wales, Singampuli, Ilavarasu",null,Avatar Movies,/wiki/Azhagumagan,4,James Vasanthan,
67,2018,Kadhal Enakku Romba Pidikkum,C. Sakthivel,"Suryavarman, Rio",null,Win Pictures,,2,,2.8
68,2018,Moondru Rasikarkal,Shebi,"Roshan Basheer, Thalaivasal Vijay, Yazir Saleem",null,Al-Tari Movies,,3,,
69,2018,Pyaar Prema Kaadhal,Elan,"Harish Kalyan, Raiza Wilson",null,K Films,/wiki/Pyaar_Prema_Kaadhal,2,Yuvan Shankar Raja,6.6
70,2018,Vishwaroopam 2,Kamal Haasan,"Kamal Haasan, Rahul Bose, Pooja Kumar, Andrea Jeremiah",null,"Aascar Films, Raaj Kamal Films International",/wiki/Vishwaroopam_II,4,"Ghibran,Ghibran Muhammad",5.9
71,2018,Kolamavu Kokila,Nelson Dilipkumar,"Nayanthara, Yogi Babu, Saranya Ponvannan",null,Lyca Productions,/wiki/Kolamavu_Kokila,3,Anirudh Ravichander,7.3
72,2018,Marainthirunthu Paarkum Marmam Enna,Rahesh,"Dhruvva, Aishwarya Dutta, Radharavi, J. D. Chakravarthy",null,Etcetera Entertainment,/wiki/Marainthirunthu_Paarkum_Marmam_Enna,4,Achu Rajamani,5.3
73,2018,Odu Raja Odu,"Nishanth, Jathin","Guru Somasundaram, Nassar, Lakshmi Priyaa Chandramouli",null,Vijay Moolan Talkies,/wiki/Odu_Raja_Odu,3,Tosh Nanda,7.1
74,2018,Echcharikkai,Sarjun,"Sathyaraj, Varalaxmi Sarathkumar, Kishore, Vivek Rajgopal",null,Timeline Cinemas,/wiki/Echcharikkai,4,Sundaramurthy KS,6.5
75,2018,Kalari,Kiran Chand,"Kreshna, Vidya Pradeep, Jayaprakash",null,Nakshatra Movie Magic,/wiki/Kalari_(2018_film),3,V. Prasanna,4.7
76,2018,Lakshmi,A. L. Vijay,"Prabhu Deva, Ditya Bhande, Aishwarya Rajesh",null,Pramod Films,/wiki/Lakshmi_(2018_film),3,Sam C. S.,6.8
77,2018,Merku Thodarchi Malai,Lenin Bharathi,"Antony, Gayathri Krishnaa, Abu Valayankulam",null,Vijay Sethupathi Productions,/wiki/Merku_Thodarchi_Malai,3,Ilaiyaraaja,8.5
78,2018,Imaikkaa Nodigal,Ajay Gnanamuthu,"Nayanthara, Atharvaa, Raashi Khanna, Anurag Kashyap",null,Cameo Films India,/wiki/Imaikkaa_Nodigal,4,,7.4
79,2018,60 Vayadu Maaniram,Radha Mohan,"Vikram Prabhu, Prakash Raj, Samuthirakani, Indhuja",null,V Creations,/wiki/60_Vayadu_Maaniram,4,Ilaiyaraaja,6.6
80,2018,Aaruthra,Pa. Vijay,"Pa. Vijay, Meghali, K. Bhagyaraj, S. A. Chandrasekhar",null,Banner Vil Makers,/wiki/Aaruthra,4,"Vidyasagar,composer,Vidyasagar",5.7
81,2018,Annanukku Jai,Rajkumar,"Dinesh, Mahima Nambiar, RJ Balaji",null,Grassroot Film Company,/wiki/Annanukku_Jai_(2018_film),3,Arrol Corelli,5.7
82,2018,Avalukkenna Azhagiya Mugam,A. Kesavan,"Vijay Karthik, Poovarasan, Sabaree, Yogi Babu",null,Kathiravan Studios,,4,,
